legal_entity_id,legal_entity_name,legal_entity_edrpou,care_type,property_type,legal_entity_email,legal_entity_phone,legal_entity_owner_name,registration_area,registration_settlement,registration_address,lat,lng
00e03ca6-f1ed-46ce-bc6a-32bc695536ef,"Комунальне некомерційне підприємство ""Медичний центр Сім'я""",40390032,Первинна,Комунальна,pmdmukachevo@mukachevo-rada.gov.ua,+380950000343,Чубірко Мирослава Михайлівна,ЗАКАРПАТСЬКА,МУКАЧЕВО,"Україна, 89600, Закарпатська обл., місто Мукачево, ВУЛИЦЯ ЯРОСЛАВА МУДРОГО, будинок 48",48.4493055,22.7117106
00f48d24-0c46-4f78-ace7-d14d87468825,ЛАВРЕНЧУК ІРИНА ОЛЕГІВНА,ФОП,Первинна,ФОП,smurfeta2407@gmail.com,+380675556000,Лавренчук Ірина Олегівна,ЖИТОМИРСЬКА,ЧУДНІВ,"Україна, 13201, Житомирська обл., Чуднівський р-н, місто Чуднів, ВУЛИЦЯ ВАТУТІНА, будинок 13, квартира 03",50.055693,28.1177
00f5db16-2dc8-4da7-9c97-3cad86550d14,ВАВДІЮК ЛЮДМИЛА ВОЛОДИМИРІВНА,ФОП,Первинна,ФОП,lyudashevchik0@gmail.com,+380969675386,Вавдіюк Людмила Володимирівна,ВОЛИНСЬКА,РАКІВ ЛІС,"Україна, 44524, Волинська обл., Камінь-Каширський р-н, село Раків Ліс, вул.Довга-Нива, будинок 26",51.6203554,24.9194196
010c6f03-041f-482a-8508-c4c8292b9fda,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВРАДІЇВСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ВРАДІЇВСЬКОЇ СЕЛИЩНОЇ РАДИ",38304997,Первинна,Комунальна,vradpmsd@ukr.net,+380513591882,Боровицький Ігор Васильович,МИКОЛАЇВСЬКА,ВРАДІЇВКА,"Україна, 56301, Миколаївська обл., Врадіївський р-н, селище міського типу Врадіївка, ВУЛИЦЯ АГРАРНА, будинок 2",47.8658976,30.5905504
010d8dba-c528-49e2-9849-2419a63d618f,СОКУР ЛАРИСА ЛЕОНІДІВНА,ФОП,Первинна,ФОП,sokurll1980@ukr.net,+380993407011,Сокур Лариса Леонідівна,КІРОВОГРАДСЬКА,ОЛЕКСАНДРІЯ,"Україна, 28000, Кіровоградська обл., місто Олександрія, ВУЛИЦЯ ПЕРШОТРАВНЕВА, будинок 51, квартира 119",48.6632703,33.0967875
01152774-c0dd-47b1-92ae-39c37754ccd9,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КУТСЬКА МІСЬКА ЛІКАРНЯ"" КУТСЬКОЇ СЕЛИЩНОЇ РАДИ КОСІВСЬКОГО РАЙОНУ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",25064231,Первинна,Комунальна,kytu_likarnia@i.ua,+380347845379,Грабовецький Ігор Ярославович,ІВАНО-ФРАНКІВСЬКА,КУТИ,"Україна, 78665, Івано-Франківська обл., Косівський р-н, селище міського типу Кути, ВУЛИЦЯ ПАВЛИКА, будинок 3",48.2629668,25.1738286
012f2de2-416d-4b5a-9a44-77819b63d768,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕДІКАЛ КЕАР""",43563576,Первинна,Приватна (без ФОП),medicalcare@ukr.net,+380964038689,Гамій Лариса Іларіонівна,ДНІПРОПЕТРОВСЬКА,ДНІПРО,"Україна, 49000, Дніпропетровська обл., місто Дніпро, вул.Свєтлова, будинок 42А, приміщення 18",48.464717,35.046183
0159510a-d01c-4ca4-8aa6-7466c4abc123,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ХАРКІВСЬКОЇ ОБЛАСНОЇ РАДИ ""ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ""",02003563,Спеціалізована,Комунальна,hokb07@ukr.net,+380577050187,Лобойко Костянтин Миколайович,ХАРКІВСЬКА,ХАРКІВ,"Україна, 61058, Харківська обл., місто Харків, ПРОСПЕКТ НЕЗАЛЕЖНОСТІ, будинок 13",50.0020126,36.3073994
017cc4a9-6599-41dd-9e86-85dcfd49e81a,ПОЛЬНИЙ АНДРІЙ МИРОСЛАВОВИЧ,ФОП,Первинна,ФОП,doktorsm@gmail.com,+380965505404,Польний Андрій Мирославович,ТЕРНОПІЛЬСЬКА,ТЕРНОПІЛЬ,"Україна, 46002, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ ГАЛИЦЬКА, будинок 52, квартира 67",49.5510443,25.5952184
0192684a-aa38-4bd0-9ee9-e377b0673280,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МІСЬКА ПОЛІКЛІНІКА № 20"" ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ",34017656,Первинна,Комунальна,poliklinika20@ukr.net,+380577255538,Чиркіна Вікторія Вікторівна,ХАРКІВСЬКА,ХАРКІВ,"Україна, 61068, Харківська обл., місто Харків, пр.Героїв Харкова, будинок 179",49.9514727,36.3869219
019a7d41-15a4-4c52-8ec5-7a87bc5d1e15,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МИРОПІЛЬСЬКА АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ СІМЕЙНОЇ МЕДИЦИНИ""  МИРОПІЛЬСЬКОЇ СЕЛИЩНОЇ РАДИ",41536630,Первинна,Комунальна,olenamp@ukr.net,+380686631324,Мельник Олена Петрівна,ЖИТОМИРСЬКА,МИРОПІЛЬ,"Україна, 13033, Житомирська обл., Житомирський р-н, селище міського типу Миропіль, вул.Центральна, будинок 67",50.1068934,27.7077665
01bb80f5-49ff-47fa-b3ab-ad7ad3d9d197,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ДИТЯЧА КЛІНІЧНА ЛІКАРНЯ № 9 ПОДІЛЬСЬКОГО РАЙОНУ МІСТА КИЄВА"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)",05492290,Спеціалізована,Комунальна,kmdkl9@ukr.net,+380444685070,Міллер Аріна Юріївна,М.КИЇВ,КИЇВ,"Україна, 04073, місто Київ, ВУЛИЦЯ КОПИЛІВСЬКА, будинок 1/7",50.4859954,30.4693864
01ce0e5e-ffef-4397-9f85-ca6aa9fc393a,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ СХІДНИЦЬКОЇ СЕЛИЩНОЇ РАДИ""",44397639,Первинна,Комунальна,shidnytsa-pervynka@ukr.net,+380673147397,Скурчанський Юрій Михайлович,ЛЬВІВСЬКА,БОРИСЛАВ(З),"Україна, 82391, Львівська обл., місто Борислав(з), селище міського типу Східниця(з), вул.Золота Баня, будинок 3",49.2296659,23.3488619
01e1ecd4-b80c-4fa5-9e09-52157413d637,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІНТЕЛЕКТМЕД""",42704775,Первинна,Приватна (без ФОП),inelektmedtychiv@gmail.com,+380964325170,Янчій Віталія Андріївна,ЗАКАРПАТСЬКА,ТЯЧІВ,"Україна, 90500, Закарпатська обл., Тячівський р-н, місто Тячів, ВУЛИЦЯ ГОЛЛОШІ, будинок 56, корпус ""Д""",48.017152,23.5724669
01ed75c7-7526-49c1-9943-55f9eaa7a4ad,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ДРУЖБІВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ "" ДРУЖБІВСЬКОЇ МІСЬКОЇ РАДИ ШОСТКИНСЬКОГО РАЙОНУ СУМСЬКОЇ ОБЛАСТІ",41777821,Первинна,Комунальна,s.02111970n@gmail.com,+380979636001,Супрун Михайло Володимирович,СУМСЬКА,ДРУЖБА,"Україна, 41220, Сумська обл., Шосткинський р-н, місто Дружба, вул.Заводська, будинок 6",52.0402452,33.9293828
01f61947-2a93-4ea3-9b94-e3e236103b84,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""СОСНІВСЬКА МІСЬКА ЛІКАРНЯ  ЧЕРВОНОГРАДСЬКОЇ МІСЬКОЇ РАДИ""",43260585,Спеціалізована,Комунальна,mlsosnivka@gmail.com,+380995526283,Кінах Юрій Васильович,ЛЬВІВСЬКА,СОСНІВКА,"Україна, 80193, Львівська обл., Червоноградський р-н, місто Соснівка, вул.Грушевського, будинок 36",50.2940634,24.2508161
0200b889-1157-4ed5-a32b-dccbd7c219ae,Петрук Світлана  Валентинівна,ФОП,Первинна,ФОП,luceomed@gmail.com,+380959209654,Петрук Світлана Валентинівна,М.КИЇВ,КИЇВ,"Україна, 02140, місто Київ, вул.Вишняківська, будинок 8, квартира 73",0.0,0.0
0200dc74-58f1-4f21-a022-7ac4ff9ae4b4,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №18"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)",01993776,Спеціалізована,Комунальна,kmkl18@ukr.net,+380442354056,Крижевський Вадим Віталійович,М.КИЇВ,КИЇВ,"Україна, 01030, місто Київ, БУЛЬВАР ТАРАСА ШЕВЧЕНКА, будинок 17",50.4433484,30.5092117
020320cf-798f-412f-8573-2b91dee9d585,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ПОНОРНИЦЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ПОНОРНИЦЬКОЇ СЕЛИЩНОЇ РАДИ",44487753,Первинна,Комунальна,ponornica.likarnya@gmail.com,+380961774467,Гончарова Дарина Іванівна,ЧЕРНІГІВСЬКА,ПОНОРНИЦЯ,"Україна, 16220, Чернігівська обл., Новгород-Сіверський р-н, селище міського типу Понорниця, вул.Свириденка, будинок 10",51.7232834,32.8476241
02357b44-b957-4250-8bc9-58699622d9ec,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""БУЗЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" БУЗЬКОЇ СІЛЬСЬКОЇ РАДИ",38341981,Первинна,Комунальна,vozn_rcpmsd@ukr.net,+380661125393,Жарська Галина Андріївна,МИКОЛАЇВСЬКА,БУЗЬКЕ(З),"Україна, 56541, Миколаївська обл., Вознесенський р-н, село Бузьке(з), пл.Центральна, будинок 1",47.5741942,31.3160366
02360de5-e3ca-448f-beb2-dd407cb621bb,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ГОРОДОЦЬКА ЦЕНТРАЛЬНА ЛІКАРНЯ"" ГОРОДОЦЬКОЇ МІСЬКОЇ РАДИ ЛЬВІВСЬКОЇ ОБЛАСТІ",01997863,Спеціалізована,Комунальна,gorcrl@ukr.net,"+380677791076, +380323130148",Фалинський Павло Омелянович,ЛЬВІВСЬКА,ГОРОДОК,"Україна, 81500, Львівська обл., Львівський р-н, місто Городок, вул.Коцюбинського М., будинок 18",49.7821352,23.6611306
023d4811-e8fd-406f-9ebe-f6dacf819cb3,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ГУМЕНЕЦЬКОЇ СІЛЬСЬКОЇ РАДИ КАМ'ЯНЕЦЬ-ПОДІЛЬСЬКОГО РАЙОНУ ХМЕЛЬНИЦЬКОЇ ОБЛАСТІ",42579187,Первинна,Комунальна,cpmsd_gumenetskoi_sr@ukr.net,+380976103342,Здоровецький Дмитро Миколайович,ХМЕЛЬНИЦЬКА,ГУМЕНЦІ,"Україна, 32325, Хмельницька обл., Кам'янець-Подільський р-н, село Гуменці, вул.Центральна, будинок 69",48.7599392,26.6266731
023e43c8-3d6c-49cd-8df4-532f6b889ca9,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦАРИЧАНСЬКИЙ  ЦЕНТР ПЕРВИННОЇ МЕДИКО - САНІТАРНОЇ ДОПОМОГИ"" ЦАРИЧАНСЬКОЇ СЕЛИЩНОЇ РАДИ",37730625,Первинна,Комунальна,tslik_cpmsd@ukr.net,"+380964117554, +380569032719",Дениско Наталія Валентинівна,ДНІПРОПЕТРОВСЬКА,ЦАРИЧАНКА,"Україна, 51000, Дніпропетровська обл., Дніпровський р-н, селище міського типу Царичанка, вул.Царичанська, будинок 134 А",48.9473321,34.4704269
024e9da2-10aa-4381-8377-7421a178e589,ГЕДЗЮК ОЛЕНА МИКОЛАЇВНА,ФОП,Первинна,ФОП,gedzukolena@gmail.com,+380683346498,Гедзюк Олена Миколаївна,ХМЕЛЬНИЦЬКА,ВОЛОЧИСЬК,"Україна, 31200, Хмельницька обл., Хмельницький р-н, місто Волочиськ, вул.Бандери Степана, будинок 2"" б"", квартира 95",49.5345161,26.2093072
025b2ba5-e467-4530-8179-b49f1bd9d239,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО СТЕПАНІВСЬКОЇ СЕЛИЩНОЇ РАДИ ""АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ-СІМЕЙНОЇ МЕДИЦИНИ СМТ.СТЕПАНІВКА""",41828399,Первинна,Комунальна,knpstep@gmail.com,+380542778555,Гирман Світлана Анатоліївна,СУМСЬКА,СТЕПАНІВКА,"Україна, 42305, Сумська обл., Сумський р-н, селище міського типу Степанівка, ВУЛИЦЯ ПРОМИСЛОВА, будинок 3",50.9400402,34.6323712
0269e1f4-bdac-4c10-b913-fbb365941270,БЄЛОВА АНАСТАСІЯ ДМИТРІВНА,ФОП,Первинна,ФОП,familydoctordnipro@gmail.com,+380966181839,Бєлова Анастасія Дмитрівна,ДНІПРОПЕТРОВСЬКА,СЛОБОЖАНСЬКЕ(ПН),"Україна, 52005, Дніпропетровська обл., Дніпровський р-н, селище міського типу Слобожанське(пн), вул.Спортивна, будинок 1, квартира 51",48.4215649,35.1325443
02c64c4b-6cc3-48ac-9efc-233e4c02f0dd,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЄЛАНЕЦЬКИЙ  ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЄЛАНЕЦЬКОЇ СЕЛИЩНОЇ РАДИ МИКОЛАЇВСЬКОЇ ОБЛАСТІ",38339071,Первинна,Комунальна,elan_pmsd@ukr.net,+380515991158,Мачушенко Валентина Іванівна,МИКОЛАЇВСЬКА,ЄЛАНЕЦЬ,"Україна, 55501, Миколаївська обл., Вознесенський р-н, селище міського типу Єланець, вул.Паркова, будинок 55",47.6953092,31.8523332
02f762d9-e27d-4ba6-a3d6-6fa8f0c10daa,ЯВТУШЕНКО ЮРІЙ ОЛЕКСІЙОВИЧ,ФОП,Первинна,ФОП,ksl_yavtushenko@holding.zone,+380965599635,ЯВТУШЕНКО ЮРІЙ ОЛЕКСІЙОВИЧ,ПОЛТАВСЬКА,ПОЛТАВА,"Україна, 36039, Полтавська обл., місто Полтава, ВУЛИЦЯ ВАТУТІНА, будинок 19, квартира 32",49.5904532,34.5358569
03079eb1-5d5f-4ce3-80c5-92a1361fc683,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АСІСТАНС СЕРВІС""",30850322,Первинна,Приватна (без ФОП),medassist.zp.ua@ukr.net,+380503223377,Сахаров Андрій Миколайович,ЗАПОРІЗЬКА,ЗАПОРІЖЖЯ,"Україна, 69035, Запорізька обл., місто Запоріжжя, ВУЛИЦЯ СТАЛЕВАРІВ, будинок 17",47.8501509,35.0988059
030a76a7-d4c7-43fe-9feb-92955ee4c1bb,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""РІВНЕНСЬКИЙ ОБЛАСНИЙ СПЕЦІАЛІЗОВАНИЙ ДИСПАНСЕР РАДІАЦІЙНОГО ЗАХИСТУ НАСЕЛЕННЯ"" РІВНЕНСЬКОЇ ОБЛАСНОЇ РАДИ",02000116,Спеціалізована,Комунальна,rosdrzn@gmail.com,+380362635153,Миронець Олександр Миколайович,РІВНЕНСЬКА,РІВНЕ,"Україна, 33028, Рівненська обл., місто Рівне, ВУЛИЦЯ В'ЯЧЕСЛАВА ЧОРНОВОЛА, будинок 79",50.6190674,26.2521127
030ca1a6-b4e7-49a2-b655-c7f78aeb40e6,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ МЕДИЧНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №1"" М.КРЕМЕНЧУКА",38742830,Первинна,Комунальна,kremencenter1@ukr.net,+380536758414,Тарасова Наталія Євгеніївна,ПОЛТАВСЬКА,КРЕМЕНЧУК,"Україна, 39600, Полтавська обл., місто Кременчук, ВУЛИЦЯ ІВАНА МАЗЕПИ, будинок 26",49.0683261,33.4088644
031f8a15-6ed5-4e29-86a1-440cabfae2ae,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""БЕРЕГОМЕТСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" БЕРЕГОМЕТСЬКОЇ СЕЛИЩНОЇ РАДИ ВИЖНИЦЬКОГО РАЙОНУ ЧЕРНІВЕЦЬКОЇ ОБЛАСТІ",36753285,Первинна,Комунальна,cpmsd-ber@med.cv.ua,+380373036536,Одочук Надія Степанівна,ЧЕРНІВЕЦЬКА,БЕРЕГОМЕТ,"Україна, 59233, Чернівецька обл., Вижницький р-н, селище міського типу Берегомет, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 12",48.1782952,25.3426628
03261781-bc3b-49c8-9a35-b7858c3a01c3,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""СУДОВОВИШНЯНСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" СУДОВОВИШНЯНСЬКОЇ МІСЬКОЇ РАДИ ЛЬВІВСЬКОЇ ОБЛАСТІ",41136480,Первинна,Комунальна,makarukha1204@gmail.com,+380979276552,Макаруха Юрій Іванович,ЛЬВІВСЬКА,СУДОВА ВИШНЯ,"Україна, 81340, Львівська обл., Яворівський р-н, місто Судова Вишня, вул.Сагайдачного, будинок  5",49.7905276,23.3699447
0340e34e-318c-438e-b136-a56af8e2bb60,"ДЕРЖАВНА УСТАНОВА ""ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ МІНІСТЕРСТВА ВНУТРІШНІХ СПРАВ УКРАЇНИ ПО МІСТУ КИЄВУ ТА КИЇВСЬКІЙ ОБЛАСТІ""",37027405,Спеціалізована,Державна,kiev-tmo@mvs.gov.ua,+380444832851,Безух Лариса Миколаївна,М.КИЇВ,КИЇВ,"Україна, 04050, місто Київ, ВУЛИЦЯ ПЛАТОНА МАЙБОРОДИ, будинок 19",50.4696446,30.4764455
0366fa21-74b0-4208-b2fb-1de6ebab13b6,"комунальне некомерційне підприємство ""Центр первинної медико-санітарної допомоги Боратинської сільської ради""",44119515,Первинна,Комунальна,knp.cpmsd.bsr@gmail.com,+380951870811,Чертюк Оксана Петрівна,ВОЛИНСЬКА,БОРАТИН,"Україна, 45605, Волинська обл., Луцький р-н, село Боратин, вул.Центральна, будинок 2А",50.7031585,25.3676564
03841d1a-cf0b-446f-a67d-9becbeebeaf2,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""БУРШТИНСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" БУРШТИНСЬКОЇ МІСЬКОЇ РАДИ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",42244782,Первинна,Комунальна,burshtyn.pervynka@gmail.com,+380343844006,Савчин Оксана Михайлівна,ІВАНО-ФРАНКІВСЬКА,БУРШТИН(ПН),"Україна, 77111, Івано-Франківська обл., місто Бурштин(пн), ВУЛИЦЯ ШУХЕВИЧА, будинок 15",49.2488098,24.6275902
